m,y,locality,seg_phos,seg_psize,seg_pet,seg_mat,seg_decs,US_RockPhos,USCalcium,native.bio,exotic.bio
3.0,2009,Boundary Stream,4.04,2.1,1170.04,125.67,2350.92,3.736,2.0,2,0
4.0,2009,Waikakaho River,2.81,3.81,1234.11,122.24,2392.5,2.864,1.789,3,0
4.0,2009,Waikakaho River,2.57,3.57,1248.55,123.82,2394.04,2.786,1.722,4,0
8.0,2009,Wairau River tributary,2.81,3.35,1265.87,124.56,2397.06,2.574,1.403,2,0
11.0,2009,Waima River,2.82,2.19,1661.64,128.4,2416.42,2.705,1.494,1,0
12.0,2009,Fabians Creek,2.35,3.35,1313.25,119.21,2410.34,2.844,1.835,2,0
12.0,2009,Fabians Creek,2.14,3.14,1319.61,119.97,2410.79,2.723,1.666,2,0
12.0,2009,Waikakaho River,2.57,3.57,1248.55,123.82,2394.04,2.786,1.722,1,0
4.0,2010,Unnamed Stream Whahanihi Bay,3.0,4.0,886.55,98.33,2349.22,3.0,1.0,3,0
4.0,2010,Unnamed Stream Whahanihi Bay,3.0,4.0,886.55,98.33,2349.22,3.0,1.0,5,0
10.0,2009,Wai-iti River tributary,1.98,2.51,1245.12,124.18,2396.9,1.963,1.481,2,0
10.0,2009,Wai-iti River tributary,2.91,2.05,1250.63,124.96,2397.95,2.89,1.945,2,0
12.0,2009,Poorman Valley Stream,1.34,3.0,1150.82,120.33,2392.62,1.222,1.222,6,2
2.0,2010,Jordan River,3.46,3.38,1173.95,123.75,2410.72,3.599,2.0,5,1
2.0,2010,North Branch Riwaka River,1.0,5.0,1135.77,120.38,2401.2,1.003,3.997,1,0
2.0,2010,North Branch Riwaka River,3.54,3.63,1145.07,120.57,2403.39,2.707,2.295,1,1
2.0,2010,Shaggery Stream,1.0,4.16,1174.57,122.64,2410.27,1.0,1.0,4,1
2.0,2010,Unnamed stream Waimea Inlet,3.0,2.0,1225.41,125.0,2403.0,3.0,2.0,4,1
2.0,2010,Unnamed stream Takapou Bay,1.0,3.15,1058.95,127.64,2360.8,1.0,1.0,3,0
2.0,2010,Unnamed stream Wainui In,1.07,2.83,1061.22,126.39,2362.32,1.029,1.01,3,0
2.0,2010,Flowers Creek,1.41,3.59,976.19,126.33,2343.87,1.401,1.2,3,0
2.0,2010,Flowers Creek,1.41,3.59,976.19,126.33,2343.87,1.401,1.2,2,0
2.0,2010,Waitui Stream,2.89,4.11,1055.57,108.0,2387.67,2.896,1.454,4,1
2.0,2010,Moutere River tributary,2.63,2.19,1203.99,123.69,2407.95,2.705,1.853,5,0
2.0,2010,Unnamed stream Waimea Inlet,3.15,1.78,1217.59,125.0,2399.86,3.156,1.981,4,1
2.0,2010,Moutere River tributary,2.63,2.19,1203.99,123.69,2407.95,2.705,1.853,6,0
2.0,2010,Moutere River tributary,2.65,2.18,1202.15,123.7,2409.15,2.694,1.847,5,1
11.0,2008,Little Kaituna Stream,2.48,4.48,1011.63,126.02,2349.58,2.489,2.64,2,0
11.0,2008,Little Kaituna Stream,2.48,4.48,1011.63,126.02,2349.58,2.489,2.64,1,0
11.0,2008,Little Kaituna Stream tributary,2.01,3.42,1014.25,126.3,2350.06,2.021,2.125,4,0
11.0,2008,Little Kaituna Stream tributary,2.01,3.42,1014.25,126.3,2350.06,2.021,2.125,3,0
11.0,2008,Tukurua Creek,1.54,4.01,987.3,122.77,2346.98,1.515,2.148,3,0
11.0,2008,Flowers Creek,1.41,3.59,976.19,126.33,2343.87,1.401,1.2,5,0
11.0,2008,Flowers Creek,1.41,3.59,976.19,126.33,2343.87,1.401,1.2,1,0
11.0,2008,Flowers Creek,1.41,3.59,976.19,126.33,2343.87,1.401,1.2,3,0
11.0,2008,Little Kaituna Stream tributary,2.01,3.42,1014.25,126.3,2350.06,2.021,2.125,1,0
11.0,2008,Ferrer Creek,3.0,2.0,1197.22,125.26,2415.0,3.0,2.0,3,0
11.0,2008,Moutere Inlet tributary,1.35,2.83,1198.62,123.08,2405.8,1.306,1.153,1,0
4.0,2009,Stony River tributary,4.59,2.6,701.51,90.73,2315.51,4.598,2.0,4,0
8.0,2009,Unnamed swamp Rawhitiroa,4.69,1.0,919.71,118.74,2335.84,4.336,2.0,0,1
